bucket;control;corr_T;corr_Y;max_abs_corr_Z;corr_iv_fiscal_q4;corr_iv_fiscal_pressure;corr_iv_q4_no_ytd;corr_iv_ytd_exec_pct
06_d_ori_bancada;d_ori_bancada_nao;0.0196;0.0176;0.0825;0.0012;0.0396;-0.0313;0.0825
07_d_tipoVotacao;d_tipoVotacao_REQ;-0.0167;0.0253;0.0816;0.0038;-0.0215;-0.0166;0.0816
07_d_tipoVotacao;d_tipoVotacao_PDL;-0.0133;-0.0135;0.0802;0.0675;0.0158;0.0802;-0.0169
16_d_N_part_leg;d_2_leg;0.0414;-0.0335;0.0777;-0.0007;-0.009;-0.0722;0.0777
07_d_tipoVotacao;d_tipoVotacao_meta_REC;-0.0614;0.0032;0.0777;0.0223;-0.0231;-0.0093;-0.0777
20_n_aggregates;n_lead_orgaos;0.0001;-0.0107;0.0769;0.0051;-0.02;0.0058;-0.0769
20_n_aggregates;n_legis;0.0342;-0.1017;0.0764;-0.0008;-0.0169;-0.0764;0.0446
07_d_tipoVotacao;d_tipoVotacao_meta_RIC;-0.0104;-0.0101;0.0763;-0.057;-0.0353;-0.0205;-0.0763
05_d_ori_op;d_ori_op_obstrucao;0.0378;0.0045;0.0752;-0.0752;-0.0526;0.0008;-0.0625
04_d_ori_min;d_ori_min_sim;0.026;-0.0055;0.0722;-0.0722;-0.063;-0.0083;-0.0167
08_d_tema;d_tema_EL;-0.005;-0.0066;0.0692;0.0398;0.0692;-0.0008;0.0168
09_tipoAutor;tipoAutor_Deputado(a);0.0481;-0.0257;0.0687;-0.0426;-0.0373;-0.0357;0.0687
14_d_demograficas;d_independente;0.0041;0.0975;0.0677;0.0251;0.0416;-0.0011;0.0677
08_d_tema;d_tema_FPO;-0.0014;-0.0096;0.0676;-0.0181;0.0198;-0.0174;-0.0676
07_d_tipoVotacao;d_tipoVotacao_meta_PPP;0.0349;0.0121;0.0673;-0.0673;-0.0607;-0.0216;0.0341
08_d_tema;d_tema_PAS;-0.0203;-0.0054;0.0668;-0.055;-0.0419;-0.0197;-0.0668
